,IndustrialProdGrowth,CreditPremium,Yield spread,Yield Curve PCA,SP500 Return,Portfolio Estimated Return,Value
0,0.04669200852540634,0.827826087,1.1555,-1.1398266468632747,-0.25,-2.8024533761444306,-6900.62885775533
0,-10.0,0.827826087,1.1555,-1.1398266468632747,0.012856251137934427,-2.131145007196476,-5247.630830152756
0,0.04669200852540634,-2.0,1.1555,-1.1398266468632747,0.012856251137934427,-2.441610075058372,-6012.105352672825
0,0.04669200852540634,0.827826087,-2.0,-1.1398266468632747,0.012856251137934427,2.1472835419021488,5287.3695959284305
0,0.04669200852540634,0.827826087,1.1555,1.0,0.012856251137934427,-0.15055430894509064,-370.71782096701
0,-10.0,-2.0,-2.0,1.0,-0.25,-10.567282676273113,-26020.37786058428
