,Industrial ProdGrowth,Credit Premium,Yield spread,Yield CurvePCA,SP500 Return,Portfolio Estimated Return,Value
2346,2.23,2.03,1.83,-3.86,0.10,6.65,16373.51
2572,2.35,2.04,2.24,-3.17,0.10,6.11,15052.32
489,2.14,2.05,0.08,-2.03,0.10,5.86,14433.41
